Name,unrefined_precision,unrefined_fitness,window_size,distance_metric,threshold,number_of_clusters_found,Precision,Fitness,Runtime
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.EDIT_DISTANCE,0,2,0.227043202,0.945278251,0.189653397
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.EDIT_DISTANCE,0.25,2,0.227043202,0.945278251,0.188904762
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.EDIT_DISTANCE,0.5,2,0.22971706,0.976672269,0.248218536
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.EDIT_DISTANCE,0.75,14,0.181546821,0.970869228,0.178446293
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.EDIT_DISTANCE,1,14,0.181428555,0.971058393,0.266660929
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.SET_DISTANCE,0,2,0.227043202,0.945278251,0.190245628
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.SET_DISTANCE,0.25,2,0.22971706,0.976672269,0.186080456
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.SET_DISTANCE,0.5,2,0.227043202,0.945278251,0.183662176
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.SET_DISTANCE,0.75,14,0.181523539,0.970625647,0.178062439
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.SET_DISTANCE,1,14,0.181428555,0.971060834,0.329636097
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.MULTISET_DISTANCE,0,2,0.22971706,0.976672269,0.1886096
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.22971706,0.976672269,0.30499649
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.22971706,0.976672269,0.181988001
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.MULTISET_DISTANCE,0.75,14,0.181546821,0.970838616,0.163557529
environmental_permit,0.187946584,0.964335175,1,DistanceVariant.MULTISET_DISTANCE,1,14,0.181353842,0.971552022,0.331854105
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.EDIT_DISTANCE,0,3,0.238945538,0.977315015,0.227084398
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.EDIT_DISTANCE,0.25,2,0.22971706,0.976672269,0.234117508
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.EDIT_DISTANCE,0.5,2,0.168868798,0.966062326,0.184087276
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.EDIT_DISTANCE,0.75,53,0.337457873,0.971496499,0.177461624
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.EDIT_DISTANCE,1,137,0.313112619,0.970285813,0.179587364
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.SET_DISTANCE,0,2,0.22971706,0.976672269,0.201123476
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.SET_DISTANCE,0.25,3,0.237253618,0.950569018,0.200396776
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.SET_DISTANCE,0.5,2,0.227043202,0.945278251,0.177835703
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.SET_DISTANCE,0.75,19,0.311922439,0.972262749,0.199687243
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.SET_DISTANCE,1,123,0.313112619,0.970377488,0.167352676
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0,3,0.224537309,0.928604622,0.194937944
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0.25,3,0.227043202,0.945278251,0.183603525
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.227043202,0.945278251,0.36710453
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0.75,21,0.292490792,0.972509568,0.181372166
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,1,124,0.291001086,0.912075272,0.169049501
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0,3,0.22971706,0.977172406,0.248724461
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0.25,2,0.22971706,0.976672269,0.202956676
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0.5,3,0.352637796,0.964784747,0.285655499
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0.75,34,0.333423029,0.971086655,0.382679224
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,1,189,0.3130034,0.970750773,0.190603018
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0,2,0.22971706,0.976672269,0.216466665
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0.25,3,0.22971706,0.976558941,0.191000462
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0.5,3,0.347803852,0.9674284,0.205013752
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0.75,11,0.338776133,0.969585181,0.170397043
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,1,158,0.313112619,0.970412256,0.306173325
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0,3,0.227043202,0.945440056,0.202923775
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.22971706,0.976672269,0.209152699
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0.5,3,0.356302564,0.968058964,0.184223652
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0.75,15,0.327788168,0.969410215,0.16976738
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,1,168,0.3130034,0.970489188,0.289824724
